Blade,Ratchet,Bit,Win %,Wins,Losses,Partidas,Eficiencia,Pts Ganados/Combate,Pts Cedidos/Combate,Wilson Score
Aero Pegasus,1-60,Kick,65.0,13.0,7.0,20,99.0,1.0,1.0,0.43285051021946475
Aero Pegasus,1-60,Low Rush,57.1,4.0,3.0,7,76.0,1.75,1.0,0.2504542304090258
Aero Pegasus,1-60,Point,90.9,10.0,1.0,11,142.0,1.7,1.0,0.6226353745137962
Aero Pegasus,1-60,Rush,60.0,18.0,12.0,30,108.0,1.56,1.42,0.42320052498273836
Aero Pegasus,1-70,Kick,72.7,8.0,3.0,11,81.0,1.88,2.33,0.4343497069897538
Aero Pegasus,3-60,Kick,56.5,13.0,10.0,23,102.0,1.69,1.3,0.36811049305016963
Aero Pegasus,3-60,Level,66.7,2.0,1.0,3,62.0,2.0,1.0,0.20765495512648788
Aero Pegasus,3-60,Low Rush,65.0,13.0,7.0,20,100.0,1.46,1.43,0.43285051021946475
Aero Pegasus,3-60,Point,67.4,29.0,14.0,43,140.0,1.72,1.43,0.5251593250655096
Aero Pegasus,3-60,Rush,69.2,9.0,4.0,13,97.0,2.0,1.75,0.4236888781333764
Aero Pegasus,5-60,Kick,57.1,4.0,3.0,7,51.0,1.25,1.67,0.2504542304090258
Aero Pegasus,5-60,Rush,25.0,1.0,3.0,4,28.0,3.0,1.33,0.045586062644636216
Aero Pegasus,6-60,Kick,50.0,2.0,2.0,4,27.0,1.0,2.0,0.15003570882017145
Aero Pegasus,6-60,Rush,33.3,4.0,8.0,12,50.0,1.75,1.25,0.13811783989736134
Aero Pegasus,7-60,Level,54.2,13.0,11.0,24,88.0,1.85,1.82,0.3507455355310663
Aero Pegasus,7-60,Low Rush,67.7,21.0,10.0,31,143.0,1.71,1.1,0.501406855599508
Aero Pegasus,7-60,Point,56.3,9.0,7.0,16,95.0,1.67,1.14,0.3317819560677652
Aero Pegasus,7-60,Rush,70.0,7.0,3.0,10,101.0,2.0,1.33,0.3967732199795652
Aero Pegasus,9-60,Rush,57.1,4.0,3.0,7,59.0,2.0,2.0,0.2504542304090258
Antler Stag,0-60,Ball,87.5,7.0,1.0,8,108.0,1.29,1.0,0.5291051942301385
Bear Scratch,1-60,Bumper,71.4,5.0,2.0,7,91.0,1.6,1.0,0.35892909014821267
Bite Croc,3-60,Low Flat,40.0,2.0,3.0,5,27.0,1.0,1.67,0.11761823115925325
