Blade,Ratchet,Bit,Win %,Wins,Losses,Partidas,Eficiencia,Pts Ganados/Combate,Pts Cedidos/Combate,Wilson Score
Impact Drake,9-60,Point,20.0,1.0,4.0,5,18.0,2.0,2.0,0.0362231609697874
Impact Drake,9-60,Rush,25.0,1.0,3.0,4,17.0,1.0,1.33,0.0455860626446362
Knife Shinobi,9-60,Gear Flat,40.0,2.0,3.0,5,33.0,2.0,2.33,0.1176182311592532
Knight Lance,1-60,Hexa,40.0,2.0,3.0,5,43.0,1.5,1.0,0.1176182311592532
Knight Lance,3-60,Hexa,50.0,2.0,2.0,4,46.0,2.0,1.5,0.1500357088201714
Knight Lance,3-60,Low Flat,33.3,2.0,4.0,6,34.0,2.5,2.25,0.0967693325592168
Knight Lance,3-80,High Needle,28.6,2.0,5.0,7,30.0,1.0,1.0,0.0822171657090155
Knight Lance,4-60,Gear Ball,50.0,2.0,2.0,4,27.0,1.0,2.0,0.1500357088201714
Knight Lance,4-80,High Needle,50.0,2.0,2.0,4,0.0,0.0,0.0,0.1500357088201714
Knight Mail,0-70,Wedge,66.7,6.0,3.0,9,61.0,1.33,2.0,0.3541973474990897
Knight Mail,1-60,Low Flat,25.0,3.0,9.0,12,40.0,2.0,1.22,0.0889400396289613
Knight Mail,1-60,Low Rush,70.0,7.0,3.0,10,98.0,1.86,1.33,0.3967732199795652
Knight Mail,1-60,Rush,53.4,23.0,18.0,41,80.5,1.975,1.69,0.27958738608108924
Knight Mail,1-60,Taper,16.7,1.0,5.0,6,20.0,2.0,1.2,0.0300525858717302
Knight Mail,3-60,Level,33.3,1.0,2.0,3,31.0,3.0,1.5,0.0614903152761605
Knight Mail,3-60,Low Rush,66.7,4.0,2.0,6,72.0,1.25,1.0,0.2999883213415286
Knight Mail,3-60,Point,75.0,3.0,1.0,4,75.0,1.67,1.0,0.3006360524426366
Knight Mail,3-60,Unite,100.0,2.0,0.0,2,110.0,1.0,0.0,0.3423719528896193
Knight Mail,5-60,Low Rush,16.7,2.0,10.0,12,19.0,1.5,1.8,0.0469641476148222
Knight Mail,5-60,Rush,40.0,2.0,3.0,5,38.0,1.5,1.33,0.1176182311592532
Knight Mail,7-60,Low Rush,33.3,1.0,2.0,3,26.0,2.0,1.5,0.0614903152761605
Knight Mail,9-60,Bound Spike,77.8,7.0,2.0,9,87.0,1.43,1.5,0.4525833436728054
Knight Mail,9-60,Free Ball,77.35,26.0,10.0,36,92.0,1.565,1.8900000000000001,0.49728039597689244
Knight Mail,9-60,High Needle,50.0,7.0,7.0,14,54.0,1.43,2.14,0.2679886791947528
Knight Mail,9-60,Jolt,25.0,2.0,6.0,8,24.0,1.0,1.33,0.0714776888580276
Knight Mail,9-60,Low Orb,57.1,4.0,3.0,7,51.0,2.0,2.67,0.2504542304090258
Knight Mail,9-60,Low Rush,85.7,6.0,1.0,7,102.0,1.33,1.0,0.4868654966809702
Knight Mail,9-60,Rush,100.0,1.0,0.0,1,69.0,2.0,0.0,0.2065432914738929
Knight Mail,9-60,Taper,0.0,0.0,2.0,2,0.0,0.0,2.0,0.0
Knight Mail,9-60,Under Needle,40.0,2.0,3.0,5,38.0,1.5,1.33,0.1176182311592532
Knight Mail,9-60,Unite,50.0,3.0,3.0,6,36.0,1.0,1.67,0.1876128068994087
Knight Mail,9-80,Hexa,0.0,0.0,2.0,2,0.0,0.0,2.5,0.0
Knight Shield,1-60,Hexa,38.9,7.0,11.0,18,59.0,1.43,1.36,0.2030499192693116
Knight Shield,1-60,Low Orb,28.6,2.0,5.0,7,31.0,1.5,1.4,0.0822171657090155
Knight Shield,1-70,Taper,50.0,4.0,4.0,8,60.0,1.5,1.25,0.2152125268244419
Knight Shield,3-60,High Needle,25.0,1.0,3.0,4,22.0,2.0,1.67,0.0455860626446362
Knight Shield,3-60,Under Needle,85.7,6.0,1.0,7,71.0,1.33,2.0,0.4868654966809702
Knight Shield,3-60,Wedge,50.0,2.0,2.0,4,32.0,1.0,1.5,0.1500357088201714
Knight Shield,3-70,Low Rush,40.0,2.0,3.0,5,43.0,2.0,1.33,0.1176182311592532
Knight Shield,3-80,Dot,60.0,3.0,2.0,5,43.0,1.33,2.0,0.230719932208837
Knight Shield,3-80,Needle,75.0,6.0,2.0,8,94.0,2.0,1.5,0.4092698791025891
Knight Shield,4-60,Ball,60.0,6.0,4.0,10,82.0,1.67,1.25,0.3126695474501863
Knight Shield,4-60,Orb,25.0,1.0,3.0,4,15.0,1.0,1.67,0.0455860626446362
Knight Shield,4-60,Taper,50.0,5.0,5.0,10,77.0,1.8,1.0,0.2365895936154873
Knight Shield,5-60,Gear Ball,33.3,1.0,2.0,3,18.0,1.0,1.5,0.0614903152761605
Knight Shield,5-60,Hexa,45.5,5.0,6.0,11,78.0,2.6,1.17,0.2127095754398804
Knight Shield,5-60,High Taper,50.0,2.0,2.0,4,40.0,1.5,1.5,0.1500357088201714
Knight Shield,5-80,Ball,50.0,4.0,4.0,8,44.0,1.0,1.5,0.2152125268244419
Knight Shield,5-80,Needle,50.0,1.0,1.0,2,18.0,1.0,2.0,0.0945286548008661
Knight Shield,7-70,Hexa,25.0,1.0,3.0,4,13.0,1.0,2.0,0.0455860626446362
Knight Shield,9-60,Ball,50.0,2.0,2.0,4,30.0,1.5,2.5,0.1500357088201714
Knight Shield,9-60,Taper,75.0,9.0,3.0,12,113.0,1.89,1.33,0.4676896608793401
Knight Shield,9-70,Needle,50.0,4.0,4.0,8,42.0,1.25,2.0,0.2152125268244419
Leon Claw,5-60,Point,66.7,2.0,1.0,3,40.0,1.5,2.0,0.2076549551264878
Leon Claw,5-70,Taper,0.0,0.0,3.0,3,0.0,0.0,1.67,0.0
Leon Claw,7-70,Taper,62.5,5.0,3.0,8,92.0,2.0,1.0,0.3057378545838018
Leon Claw,9-60,Taper,66.7,4.0,2.0,6,78.0,2.25,1.5,0.2999883213415286
Leon Crest,1-80,Ball,0.0,0.0,3.0,3,0.0,0.0,1.33,0.0
Leon Crest,3-60,Orb,75.0,6.0,2.0,8,75.0,0.83,1.0,0.4092698791025891
Leon Crest,4-60,Dot,28.6,2.0,5.0,7,30.0,2.0,2.0,0.0822171657090155
Leon Crest,4-60,Needle,33.3,1.0,2.0,3,23.0,2.0,2.0,0.0614903152761605
Leon Crest,5-60,Ball,66.7,4.0,2.0,6,65.0,1.5,1.5,0.2999883213415286
Leon Crest,7-60,Free Ball,75.0,3.0,1.0,4,60.0,2.0,2.0,0.3006360524426366
Leon Crest,7-60,Hexa,36.4,8.0,14.0,22,66.0,1.75,1.29,0.1973297277260789
Leon Crest,7-60,Orb,37.5,3.0,5.0,8,41.0,1.0,1.0,0.136841759461521
Leon Crest,7-60,Point,28.6,2.0,5.0,7,30.0,1.0,1.0,0.0822171657090155
Leon Crest,9-60,Ball,57.1,4.0,3.0,7,66.0,1.25,1.0,0.2504542304090258
Leon Crest,9-60,Orb,71.4,5.0,2.0,7,62.0,1.8,2.5,0.3589290901482126
Leon Crest,9-60,Wedge,60.0,3.0,2.0,5,36.0,1.0,2.0,0.230719932208837
Leon Crest,9-70,High Taper,0.0,0.0,2.0,2,0.0,0.0,1.5,0.0
Leon Crest,9-70,Orb,0.0,0.0,5.0,5,0.0,0.0,1.4,0.0
Lightning L-Drago,7-60,Low Rush,50.0,2.0,2.0,4,54.0,2.0,1.0,0.1500357088201714
Lightning L-Drago Assault,1-60,Low Rush,50.0,2.0,2.0,4,32.0,1.0,1.5,0.1500357088201714
Lightning L-Drago Assault,5-60,Low Flat,16.7,1.0,5.0,6,20.0,2.0,1.2,0.0300525858717302
Lightning L-Drago Assault,7-60,Level,100.0,1.0,0.0,1,69.0,1.0,0.0,0.2065432914738929
Lightning L-Drago Barrage,7-60,Flat,20.0,1.0,4.0,5,27.0,3.0,1.0,0.0362231609697874
Lightning L-Drago Barrage,7-60,Low Flat,42.9,3.0,4.0,7,39.0,1.33,1.75,0.1582169222626268
Lightning L-Drago Barrage,9-60,Elevate,50.0,2.0,2.0,4,40.0,1.5,1.5,0.1500357088201714
Mammoth Tusk,7-60,Level,20.0,1.0,4.0,5,11.0,1.0,2.25,0.0362231609697874
Mammoth Tusk,9-60,Ball,25.0,1.0,3.0,4,20.0,1.0,1.0,0.0455860626446362
Mammoth Tusk,9-60,Orb,50.0,6.0,6.0,12,64.0,1.17,1.17,0.2537781703934222
Meteor Dragoon,1-60,Taper,50.0,4.0,4.0,8,66.0,1.5,1.0,0.2152125268244419
Meteor Dragoon,7-55,Level,63.6,7.0,4.0,11,78.0,1.71,1.75,0.3537967768916372
Meteor Dragoon,7-60,Level,87.5,14.0,2.0,16,98.0,1.64,2.5,0.6397666856325172
Meteor Dragoon,7-70,Level,39.1,9.0,14.0,23,65.0,1.56,1.43,0.2215737798238214
Meteor Dragoon,9-60,Level,28.6,2.0,5.0,7,37.0,2.0,1.2,0.0822171657090155
Meteor Dragoon,9-70,Level,42.9,3.0,4.0,7,47.0,1.67,1.5,0.1582169222626268
Meteor Dragoon,9-70,Low Rush,63.6,7.0,4.0,11,87.0,1.86,1.5,0.3537967768916372
Mummy Curse,1-60,Free Ball,36.4,4.0,7.0,11,42.0,1.25,1.43,0.1516622361413138
Mummy Curse,1-60,Hexa,60.0,6.0,4.0,10,82.0,1.33,1.0,0.3126695474501863
Mummy Curse,1-60,Low Orb,77.8,7.0,2.0,9,79.0,1.57,2.0,0.4525833436728054
Mummy Curse,1-60,Wedge,14.3,1.0,6.0,7,13.0,1.0,1.33,0.0256789559489747
Mummy Curse,9-60,Orb,40.0,2.0,3.0,5,27.0,1.0,1.67,0.1176182311592532
Optimus Primal,2-60,Low Flat,33.3,1.0,2.0,3,31.0,2.0,1.0,0.0614903152761605
Optimus Primal,5-60,Low Flat,66.7,2.0,1.0,3,55.0,1.5,1.0,0.2076549551264878
Optimus Prime,5-60,Hexa,50.0,2.0,2.0,4,34.0,1.5,2.0,0.1500357088201714
Orochi Cluster,3-60,Hexa,33.3,1.0,2.0,3,26.0,2.0,1.5,0.0614903152761605
Pegasus Blast Assault,1-60,Low Rush,16.7,1.0,5.0,6,22.0,2.0,1.0,0.0300525858717302
Pegasus Blast Assault,3-60,Low Rush,66.7,4.0,2.0,6,72.0,1.25,1.0,0.2999883213415286
Pegasus Blast Free,9-60,Free Ball,57.1,4.0,3.0,7,57.0,1.25,1.33,0.2504542304090258
Pegasus Blast Free,9-60,Hexa,54.1,20.0,17.0,37,87.0,1.35,1.71,0.3838377952476737
Pegasus Blast Free,9-60,Level,100.0,7.0,0.0,7,208.0,1.14,0.0,0.6456611570247934
Pegasus Blast Free,9-70,Unite,60.0,6.0,4.0,10,48.0,1.0,2.0,0.3126695474501863
Pegasus Blast Heavy,3-60,Jolt,60.0,6.0,4.0,10,66.0,1.5,1.75,0.3126695474501863
Pegasus Blast Heavy,3-60,Rush,50.0,2.0,2.0,4,36.0,2.0,2.5,0.1500357088201714
Pegasus Blast Heavy,5-60,Kick,50.0,2.0,2.0,4,40.0,1.5,1.5,0.1500357088201714
Pegasus Blast Heavy,7-60,Level,54.5,6.0,5.0,11,62.0,1.33,1.6,0.2800877556899882
Pegasus Blast Heavy,9-60,Jolt,50.0,4.0,4.0,8,55.0,1.25,1.25,0.2152125268244419
Pegasus Blast Heavy,9-60,Kick,55.6,5.0,4.0,9,79.0,2.0,1.25,0.2666473457440296
Pegasus Blast Heavy,9-60,Low Rush,58.8,10.0,7.0,17,86.0,1.6,1.57,0.3600507438551554
Pegasus Blast Heavy,9-60,Rush,58.3,7.0,5.0,12,96.0,2.14,1.2,0.3195073356553728
Pegasus Blast Heavy,9-60,Taper,20.0,1.0,4.0,5,18.0,1.0,1.0,0.0362231609697874
Pegasus Blast Jaggy,3-60,Kick,44.4,4.0,5.0,9,37.0,1.0,1.8,0.188775429471914
Pegasus Blast Jaggy,3-60,Low Rush,20.0,1.0,4.0,5,14.0,1.0,1.5,0.0362231609697874
Pegasus Blast Jaggy,9-60,Level,40.0,2.0,3.0,5,36.0,2.0,2.0,0.1176182311592532
Pegasus Blast Jaggy,9-60,Low Rush,50.0,3.0,3.0,6,53.0,2.0,1.67,0.1876128068994087
Pegasus Blast Slash,3-60,Low Rush,25.0,1.0,3.0,4,24.0,3.0,2.0,0.0455860626446362
Pegasus Blast Slash,3-60,Rush,50.0,2.0,2.0,4,57.0,2.5,1.0,0.1500357088201714
Pegasus Blast Slash,7-60,Level,54.5,6.0,5.0,11,54.0,1.33,2.0,0.2800877556899882
Pegasus Blast Wheel,3-60,Kick,50.0,5.0,5.0,10,64.0,1.6,1.4,0.2365895936154873
Pegasus Blast Wheel,3-60,Level,58.3,7.0,5.0,12,73.0,1.71,1.8,0.3195073356553728
Pegasus Blast Wheel,3-60,Low Rush,55.6,15.0,12.0,27,92.0,1.47,1.5,0.3731271947957688
Pegasus Blast Wheel,5-60,Hexa,50.0,2.0,2.0,4,32.0,1.0,1.5,0.1500357088201714
Pegasus Blast Wheel,6-80,Taper,50.0,3.0,3.0,6,54.0,1.67,1.33,0.1876128068994087
Pegasus Blast Wheel,7-60,Kick,50.0,2.0,2.0,4,50.0,2.5,1.5,0.1500357088201714
Pegasus Blast Wheel,7-60,Unite,50.0,2.0,2.0,4,46.0,2.0,1.5,0.1500357088201714
Pegasus Blast Wheel,9-60,Free Ball,92.9,13.0,1.0,14,92.0,1.15,2.0,0.6853073044604219
Pegasus Blast Wheel,9-60,Hexa,71.4,10.0,4.0,14,93.0,1.4,1.5,0.4535045882751561
Pegasus Blast Wheel,9-60,Kick,70.6,12.0,5.0,17,121.0,1.75,1.2,0.468664666737861
Pegasus Blast Wheel,9-60,Level,55.8,24.0,19.0,43,114.0,1.54,1.32,0.4110735806551172
Pegasus Blast Wheel,9-60,Rush,60.0,3.0,2.0,5,43.0,1.33,2.0,0.230719932208837
Pegasus Blast Wheel,9-60,Taper,50.0,10.0,10.0,20,62.0,1.3,1.9,0.2992949144298199
Pegasus Blast Wheel,9-60,Unite,45.0,9.0,11.0,20,73.0,1.56,1.36,0.2581950208570929
Perseus Dark Bumper,5-60,Hexa,50.0,1.0,1.0,2,18.0,1.0,2.0,0.0945286548008661
Perseus Dark Bumper,9-60,Ball,0.0,0.0,1.0,1,0.0,0.0,2.0,0.0
Perseus Dark Bumper,9-60,Hexa,100.0,1.0,0.0,1,69.0,3.0,0.0,0.2065432914738929
Phoenix Feather,3-60,Level,42.9,3.0,4.0,7,41.0,1.67,2.0,0.1582169222626268
Phoenix Feather,9-70,Glide,57.1,4.0,3.0,7,45.0,1.0,1.67,0.2504542304090258
Phoenix Flare Wheel,9-60,Jolt,50.0,4.0,4.0,8,55.0,1.5,1.5,0.2152125268244419
Phoenix Rudder,7-60,Level,33.3,1.0,2.0,3,26.0,2.0,1.5,0.0614903152761605
Phoenix Rudder,7-60,Taper,33.3,2.0,4.0,6,39.0,1.5,1.0,0.0967693325592168
Phoenix Rudder,9-60,Taper,60.0,3.0,2.0,5,52.0,2.33,2.5,0.230719932208837
Phoenix Wing,1-60,Hexa,70.6,12.0,5.0,17,101.0,1.75,1.8,0.468664666737861
Phoenix Wing,1-60,Level,50.0,2.0,2.0,4,54.0,2.0,1.0,0.1500357088201714
Phoenix Wing,1-60,Low Rush,55.0,22.0,18.0,40,118.0,1.68,1.22,0.3982882988844078
Phoenix Wing,1-60,Point,40.0,4.0,6.0,10,52.0,1.75,1.5,0.1681775812035096
Phoenix Wing,1-60,Rush,59.4,173.0,142.0,315,134.0,1.83,1.45,0.4380097708295739
Phoenix Wing,1-60,Taper,55.6,5.0,4.0,9,63.0,1.2,1.25,0.2666473457440296
Phoenix Wing,1-70,Kick,42.9,3.0,4.0,7,39.0,1.33,1.75,0.1582169222626268
Phoenix Wing,1-70,Rush,25.0,2.0,6.0,8,30.0,2.0,1.67,0.0714776888580276
Phoenix Wing,1-80,Rush,33.3,2.0,4.0,6,43.0,2.0,1.0,0.0967693325592168
Phoenix Wing,3-60,Ball,0.0,0.0,1.0,1,0.0,0.0,2.0,0.0
Phoenix Wing,3-60,Flat,52.4,11.0,10.0,21,101.0,1.82,1.1,0.3236921790026675
Phoenix Wing,3-60,Hexa,50.0,2.0,2.0,4,54.0,2.0,1.0,0.1500357088201714
Phoenix Wing,3-60,Level,83.3,5.0,1.0,6,111.0,2.2,1.0,0.4364905634363539
Phoenix Wing,3-60,Low Rush,56.0,14.0,11.0,25,87.0,1.64,1.82,0.3706701701956443
Phoenix Wing,3-60,Orb,87.5,7.0,1.0,8,70.0,1.14,2.0,0.5291051942301385
Phoenix Wing,3-60,Point,55.6,10.0,8.0,18,91.0,1.9,1.5,0.3371606942825162
Phoenix Wing,3-60,Rush,62.15,165.0,102.0,267,130.0,1.875,1.7,0.4315024808663055
Phoenix Wing,3-60,Taper,52.9,36.0,32.0,68,111.0,1.53,1.56,0.4124071581374706
Phoenix Wing,3-60,Trans Kick,83.3,5.0,1.0,6,81.0,2.0,2.0,0.4364905634363539
Phoenix Wing,3-60,Under Needle,0.0,0.0,2.0,2,0.0,0.0,2.0,0.0
Phoenix Wing,3-70,Hexa,70.0,7.0,3.0,10,68.0,1.14,1.67,0.3967732199795652
Phoenix Wing,3-80,Taper,25.0,1.0,3.0,4,24.0,2.0,1.33,0.0455860626446362
Phoenix Wing,4-60,Flat,50.0,9.0,9.0,18,87.0,2.11,1.44,0.2903070395897999
Phoenix Wing,4-60,Taper,60.0,3.0,2.0,5,72.0,2.0,1.0,0.230719932208837
Phoenix Wing,5-60,Dot,57.1,4.0,3.0,7,51.0,1.25,1.67,0.2504542304090258
Phoenix Wing,5-60,Flat,70.0,21.0,9.0,30,143.0,1.62,1.11,0.5212387898833981
Phoenix Wing,5-60,Gear Needle,25.0,1.0,3.0,4,22.0,2.0,1.67,0.0455860626446362
Phoenix Wing,5-60,Gear Point,0.0,0.0,3.0,3,0.0,0.0,1.0,0.0
Phoenix Wing,5-60,Hexa,57.1,4.0,3.0,7,68.0,2.25,1.67,0.2504542304090258
Phoenix Wing,5-60,High Taper,28.6,2.0,5.0,7,33.0,2.5,2.0,0.0822171657090155
Phoenix Wing,5-60,Kick,25.0,1.0,3.0,4,20.0,1.0,1.0,0.0455860626446362
Phoenix Wing,5-60,Level,75.0,3.0,1.0,4,69.0,1.33,1.0,0.3006360524426366
Phoenix Wing,5-60,Point,45.3,43.0,52.0,95,115.0,1.72,1.37,0.3563260915726526
Phoenix Wing,5-60,Rush,51.1,24.0,23.0,47,102.0,1.54,1.43,0.3724221758937288
Phoenix Wing,5-60,Taper,56.8,21.0,16.0,37,105.0,1.62,1.56,0.4091390633420071
Phoenix Wing,5-60,Unite,50.0,6.0,6.0,12,21.0,0.5,2.5,0.2537781703934222
Phoenix Wing,5-80,Unite,66.7,4.0,2.0,6,83.0,1.75,1.0,0.2999883213415286
Phoenix Wing,6-60,Level,50.0,3.0,3.0,6,42.0,1.0,1.33,0.1876128068994087
Phoenix Wing,6-60,Rush,100.0,1.0,0.0,1,69.0,3.0,0.0,0.2065432914738929
Phoenix Wing,7-60,High Taper,57.1,4.0,3.0,7,55.0,1.75,2.0,0.2504542304090258
Phoenix Wing,7-60,Low Rush,55.0,11.0,9.0,20,90.0,1.82,1.56,0.3420820083075996
Phoenix Wing,7-60,Point,80.0,4.0,1.0,5,48.0,1.5,3.0,0.3755282641185388
Phoenix Wing,7-60,Rush,55.9,19.0,15.0,34,109.0,1.53,1.27,0.3945361778918369
Phoenix Wing,7-70,Low Rush,63.6,7.0,4.0,11,62.0,1.29,2.0,0.3537967768916372
Phoenix Wing,7-70,Under Flat,50.0,3.0,3.0,6,62.0,2.33,1.33,0.1876128068994087
Phoenix Wing,9-60,Ball,50.0,11.0,11.0,22,65.0,1.09,1.55,0.3072180469247956
Phoenix Wing,9-60,Cyclone,66.7,6.0,3.0,9,77.0,1.67,1.67,0.3541973474990897
Phoenix Wing,9-60,Gear Flat,54.2,13.0,11.0,24,100.0,2.08,1.55,0.3507455355310663
Phoenix Wing,9-60,Hexa,70.0,7.0,3.0,10,66.0,1.29,2.0,0.3967732199795652
Phoenix Wing,9-60,Low Orb,50.0,4.0,4.0,8,60.0,1.5,1.25,0.2152125268244419
Phoenix Wing,9-60,Low Rush,36.4,4.0,7.0,11,58.0,1.75,1.0,0.1516622361413138
Phoenix Wing,9-60,Orb,25.0,5.0,15.0,20,42.0,1.6,1.33,0.111860052789403
Phoenix Wing,9-60,Point,71.4,5.0,2.0,7,58.0,1.6,2.5,0.3589290901482126
Phoenix Wing,9-60,Rush,61.3,38.0,24.0,62,128.0,1.68,1.67,0.4884761620578099
Phoenix Wing,9-60,Taper,57.1,24.0,18.0,42,116.0,1.83,1.56,0.4220597791187447
Ptera Swing,1-80,Point,33.3,2.0,4.0,6,32.0,1.0,1.0,0.0967693325592168
Ptera Swing,7-60,Ball,33.3,1.0,2.0,3,26.0,2.0,1.5,0.0614903152761605
Rhino Horn,1-60,Gear Flat,0.0,0.0,1.0,1,0.0,0.0,2.0,0.0
Rhino Horn,3-80,Spike,16.7,1.0,5.0,6,18.0,2.0,1.6,0.0300525858717302
Rhino Horn,4-60,Taper,37.5,3.0,5.0,8,46.0,1.0,0.8,0.136841759461521
Rhino Horn,5-60,Accel,85.7,6.0,1.0,7,122.0,2.17,1.0,0.4868654966809702
Rhino Horn,5-60,Gear Point,33.3,1.0,2.0,3,23.0,2.0,2.0,0.0614903152761605
Rhino Horn,5-60,High Taper,33.3,1.0,2.0,3,23.0,1.0,1.0,0.0614903152761605
Rhino Horn,5-60,Level,50.0,1.0,1.0,2,33.0,3.0,2.0,0.0945286548008661
Rhino Horn,7-60,Hexa,66.7,2.0,1.0,3,31.0,1.0,2.0,0.2076549551264878
Rhino Horn,7-60,Taper,0.0,0.0,1.0,1,0.0,0.0,1.0,0.0
Roar Tyranno,1-60,Rush,40.0,2.0,3.0,5,43.0,2.0,1.33,0.1176182311592532
Roar Tyranno,3-60,Flat,33.3,1.0,2.0,3,23.0,1.0,1.0,0.0614903152761605
Roar Tyranno,3-60,Rush,55.6,5.0,4.0,9,92.0,2.6,1.0,0.2666473457440296
Roar Tyranno,5-60,Ball,75.0,3.0,1.0,4,48.0,1.33,2.0,0.3006360524426366
Roar Tyranno,5-60,Orb,71.4,5.0,2.0,7,53.0,1.4,2.5,0.3589290901482126
Roar Tyranno,5-60,Point,70.0,7.0,3.0,10,73.0,1.29,1.67,0.3967732199795652
Roar Tyranno,9-60,Ball,0.0,0.0,3.0,3,0.0,0.0,1.33,0.0
Roar Tyranno,9-60,Flat,100.0,1.0,0.0,1,69.0,2.0,0.0,0.2065432914738929
Roar Tyranno,9-60,Level,71.4,5.0,2.0,7,102.0,2.2,1.0,0.3589290901482126
Samurai Calibur,1-60,Hexa,40.0,4.0,6.0,10,51.0,1.5,1.33,0.1681775812035096
Samurai Calibur,1-60,Low Orb,55.6,35.0,28.0,63,108.0,1.49,1.68,0.4331942064087128
Samurai Calibur,1-60,Low Rush,60.0,9.0,6.0,15,80.0,1.22,1.33,0.357464427565077
Samurai Calibur,1-70,Low Rush,45.5,5.0,6.0,11,56.0,1.8,1.83,0.2127095754398804
Samurai Calibur,3-60,Wall Ball,50.0,2.0,2.0,4,20.0,1.0,3.0,0.1500357088201714
Samurai Calibur,6-60,Low Rush,20.0,1.0,4.0,5,14.0,1.0,1.5,0.0362231609697874
Samurai Calibur,9-60,Rush,42.9,3.0,4.0,7,51.0,2.0,1.5,0.1582169222626268
Samurai Saber,1-60,Hexa,0.0,0.0,1.0,1,0.0,0.0,1.0,0.0
Samurai Saber,2-70,Level,25.0,1.0,3.0,4,17.0,1.0,1.33,0.0455860626446362
Samurai Saber,3-60,Cyclone,50.0,3.0,3.0,6,44.0,1.67,2.0,0.1876128068994087
Samurai Saber,3-60,Free Ball,25.0,2.0,6.0,8,24.0,1.0,1.33,0.0714776888580276
Samurai Saber,3-60,Wedge,50.0,3.0,3.0,6,61.0,1.67,1.0,0.1876128068994087
Samurai Saber,4-60,Hexa,0.0,0.0,1.0,1,0.0,0.0,2.0,0.0
Samurai Saber,4-80,Level,66.7,2.0,1.0,3,46.0,2.0,2.0,0.2076549551264878
Samurai Saber,5-60,Ball,100.0,1.0,0.0,1,69.0,2.0,0.0,0.2065432914738929
Samurai Saber,5-60,Free Ball,20.0,1.0,4.0,5,16.0,1.0,1.25,0.0362231609697874
Samurai Saber,5-60,Hexa,78.6,11.0,3.0,14,123.0,1.36,1.0,0.5241027622679172
Samurai Saber,5-60,Level,50.0,4.0,4.0,8,41.0,1.5,2.5,0.2152125268244419
Samurai Saber,7-60,Hexa,60.0,3.0,2.0,5,43.0,1.33,2.0,0.230719932208837
Samurai Saber,7-60,Level,25.0,1.0,3.0,4,15.0,1.0,1.67,0.0455860626446362
Samurai Saber,7-70,Level,0.0,0.0,1.0,1,0.0,0.0,1.0,0.0
Samurai Saber,9-60,Elevate,66.7,2.0,1.0,3,40.0,1.5,2.0,0.2076549551264878
Samurai Saber,9-60,Free Ball,55.6,5.0,4.0,9,66.0,1.6,1.5,0.2666473457440296
Samurai Saber,9-60,Hexa,100.0,1.0,0.0,1,69.0,1.0,0.0,0.2065432914738929
Samurai Saber,9-60,Level,33.3,2.0,4.0,6,40.0,2.0,1.25,0.0967693325592168
Samurai Saber,9-60,Needle,0.0,0.0,1.0,1,0.0,0.0,1.0,0.0
Samurai Saber,9-60,Orb,100.0,2.0,0.0,2,110.0,2.5,0.0,0.3423719528896193
Samurai Saber,9-60,Wedge,55.6,5.0,4.0,9,57.0,0.4,0.5,0.2666473457440296
Scorpio Spear,0-70,Wedge,50.0,2.0,2.0,4,23.0,1.0,2.5,0.1500357088201714
Scorpio Spear,1-60,Low Rush,75.0,3.0,1.0,4,69.0,1.33,1.0,0.3006360524426366
Scorpio Spear,1-60,Rush,60.0,6.0,4.0,10,82.0,1.33,1.0,0.3126695474501863
Scorpio Spear,3-60,Free Ball,100.0,1.0,0.0,1,69.0,2.0,0.0,0.2065432914738929
Scorpio Spear,3-60,Gear Ball,70.0,7.0,3.0,10,66.0,1.29,2.0,0.3967732199795652
Scorpio Spear,3-60,Jolt,75.0,6.0,2.0,8,66.0,1.67,2.5,0.4092698791025891
Scorpio Spear,3-60,Point,50.0,3.0,3.0,6,68.0,2.33,1.0,0.1876128068994087
Scorpio Spear,3-70,Unite,50.0,3.0,3.0,6,52.0,2.33,2.0,0.1876128068994087
Scorpio Spear,5-60,Free Ball,60.0,3.0,2.0,5,51.0,1.33,1.5,0.230719932208837
Scorpio Spear,5-60,Hexa,33.3,2.0,4.0,6,32.0,1.0,1.0,0.0967693325592168
Scorpio Spear,7-60,Wedge,57.1,4.0,3.0,7,59.0,1.0,1.0,0.2504542304090258
Scorpio Spear,7-70,Hexa,75.0,3.0,1.0,4,75.0,1.67,1.0,0.3006360524426366
Scorpio Spear,9-60,Free Ball,66.7,6.0,3.0,9,83.0,1.17,1.0,0.3541973474990897
Scorpio Spear,9-60,Hexa,42.9,3.0,4.0,7,42.0,1.33,1.5,0.1582169222626268
Scorpio Spear,9-60,Low Orb,67.35,69.0,31.0,100,119.5,1.4300000000000002,1.5950000000000002,0.5203874796090526
Scorpio Spear,9-60,Point,50.0,6.0,6.0,12,73.0,1.33,1.0,0.2537781703934222
Scorpio Spear,9-60,Wedge,40.0,2.0,3.0,5,24.0,1.0,2.0,0.1176182311592532
Scorpio Spear,9-80,Low Orb,72.7,8.0,3.0,11,65.0,1.13,2.0,0.4343497069897538
Shark Scale,1-60,Ball,83.3,5.0,1.0,6,54.0,1.0,2.0,0.4364905634363539
Shark Scale,1-60,Free Ball,66.7,4.0,2.0,6,43.0,1.0,2.0,0.2999883213415286
Shark Scale,1-60,Kick,20.0,1.0,4.0,5,16.0,1.0,1.25,0.0362231609697874
